Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Cre12.g530650.t1.1,Plastid,Chloroplast transit peptide,Soluble,0.16590000689029694,0.08370000123977661,0.02410000003874302,0.039799999445676804,0.11590000241994858,0.9402999877929688,0.0348999984562397,0.03200000151991844,0.06870000064373016,0.000699999975040555,0.3346000015735626,0.05640000104904175,0.09839999675750732,0.8761000037193298
Cre12.g530650.t2.1,Plastid,Chloroplast transit peptide,Soluble,0.16590000689029694,0.08370000123977661,0.02410000003874302,0.039799999445676804,0.11590000241994858,0.9402999877929688,0.0348999984562397,0.03200000151991844,0.06870000064373016,0.000699999975040555,0.3346000015735626,0.05640000104904175,0.09839999675750732,0.8761000037193298
Cre12.g531000.t1.2,Lysosome/Vacuole,Transmembrane domain,Transmembrane,0.24709999561309814,0.051100000739097595,0.05420000106096268,0.5145999789237976,0.09989999979734421,0.0142000000923872,0.3070000112056732,0.6280999779701233,0.3147999942302704,0.0044999998062849045,0.08590000122785568,0.963699996471405,0.07599999755620956,0.15790000557899475
Cre12.g531000.t2.1,Lysosome/Vacuole,Transmembrane domain,Transmembrane,0.24709999561309814,0.051100000739097595,0.05420000106096268,0.5145999789237976,0.09989999979734421,0.0142000000923872,0.3070000112056732,0.6280999779701233,0.3147999942302704,0.0044999998062849045,0.08590000122785568,0.963699996471405,0.07599999755620956,0.15790000557899475
Cre12.g531150.t1.1,Cytoplasm,Signal peptide,Soluble,0.35499998927116394,0.093299999833107,0.27889999747276306,0.19619999825954437,0.10599999874830246,0.3813999891281128,0.24300000071525574,0.14560000598430634,0.21610000729560852,0.018400000408291817,0.3587999939918518,0.22840000689029694,0.09839999675750732,0.7170000076293945
Cre12.g531200.t1.1,Lysosome/Vacuole,Signal peptide,Transmembrane,0.23999999463558197,0.1574999988079071,0.21729999780654907,0.3808000087738037,0.03519999980926514,0.10689999908208847,0.336899995803833,0.6463000178337097,0.5855000019073486,0.0284000001847744,0.30720001459121704,0.694599986076355,0.05169999971985817,0.4442000091075897
Cre12.g531700.t1.1,Mitochondrion,,Transmembrane,0.32089999318122864,0.2533000111579895,0.14090000092983246,0.1331000030040741,0.5338000059127808,0.2134999930858612,0.3301999866962433,0.1282999962568283,0.11980000138282776,0.08110000193119049,0.5916000008583069,0.8015999794006348,0.10750000178813934,0.27489998936653137
Cre12.g532450.t1.2,Cytoplasm,,Soluble,0.6949999928474426,0.20260000228881836,0.0908999964594841,0.23409999907016754,0.07649999856948853,0.050599999725818634,0.14219999313354492,0.1873999983072281,0.15729999542236328,0.052400000393390656,0.44699999690055847,0.10409999638795853,0.2614000141620636,0.788100004196167
Cre12.g533550.t1.1,Cytoplasm,Nuclear localization signal|Nuclear export signal,Soluble,0.7360000014305115,0.3772999942302704,0.050200000405311584,0.23119999468326569,0.22030000388622284,0.06549999862909317,0.09560000151395798,0.18629999458789825,0.1340000033378601,0.026200000196695328,0.45890000462532043,0.04309999942779541,0.30169999599456787,0.8331000208854675
Cre12.g534350.t1.2,Cytoplasm,Nuclear localization signal,Soluble,0.6092000007629395,0.28949999809265137,0.08910000324249268,0.13650000095367432,0.17730000615119934,0.053700000047683716,0.02889999933540821,0.2224999964237213,0.04859999939799309,0.013899999670684338,0.2721000015735626,0.11900000274181366,0.10440000146627426,0.7462000250816345
Cre12.g534800.t1.1,Mitochondrion,Mitochondrial transit peptide,Soluble,0.24629999697208405,0.10830000042915344,0.04349999874830246,0.06360000371932983,0.7797999978065491,0.14630000293254852,0.03849999979138374,0.13089999556541443,0.10589999705553055,0.05950000137090683,0.5331000089645386,0.09369999915361404,0.10100000351667404,0.7940999865531921
Cre12.g535750.t1.1,Cytoplasm,Peroxisomal targeting signal,Soluble,0.6898999810218811,0.18529999256134033,0.04479999840259552,0.0632999986410141,0.17730000615119934,0.07190000265836716,0.15629999339580536,0.35929998755455017,0.22380000352859497,0.5080000162124634,0.46700000762939453,0.08389999717473984,0.1421000063419342,0.769599974155426
Cre12.g535950.t1.2,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.20980000495910645,0.12200000137090683,0.021299999207258224,0.08569999784231186,0.8569999933242798,0.0812000036239624,0.0869000032544136,0.07240000367164612,0.05389999970793724,0.03920000046491623,0.7178000211715698,0.05869999900460243,0.10220000147819519,0.7192000150680542
Cre12.g536000.t1.2,Lysosome/Vacuole,Transmembrane domain,Transmembrane,0.17589999735355377,0.07880000025033951,0.031199999153614044,0.5302000045776367,0.08950000256299973,0.033900000154972076,0.4442000091075897,0.6402999758720398,0.5209000110626221,0.003800000064074993,0.11680000275373459,0.968500018119812,0.05900000035762787,0.1137000024318695
Cre12.g536050.t1.2,Cell membrane,Transmembrane domain,Transmembrane,0.19979999959468842,0.06629999727010727,0.039900001138448715,0.5327000021934509,0.0771000012755394,0.05389999970793724,0.38089999556541443,0.5209000110626221,0.4350999891757965,0.0044999998062849045,0.16429999470710754,0.9675999879837036,0.04690000042319298,0.10930000245571136
Cre12.g537100.t1.2,Cytoplasm,Nuclear localization signal,Soluble,0.8104000091552734,0.12849999964237213,0.07620000094175339,0.23800000548362732,0.1454000025987625,0.009100000374019146,0.18389999866485596,0.17800000309944153,0.3142000138759613,0.0017000000225380063,0.4878999888896942,0.12380000203847885,0.07620000094175339,0.7505999803543091
Cre12.g537200.t1.2,Mitochondrion,Mitochondrial transit peptide,Soluble,0.29170000553131104,0.13819999992847443,0.02979999966919422,0.0812000036239624,0.8586999773979187,0.006099999882280827,0.05180000141263008,0.10760000348091125,0.08060000091791153,0.02930000051856041,0.5788000226020813,0.043800000101327896,0.06859999895095825,0.8169000148773193
Cre12.g537581.t1.1,Plastid,Chloroplast transit peptide,Soluble,0.1362999975681305,0.09300000220537186,0.019300000742077827,0.03539999946951866,0.15379999577999115,0.9884999990463257,0.02370000071823597,0.019999999552965164,0.03620000183582306,0.00860000029206276,0.5044000148773193,0.05290000140666962,0.11240000277757645,0.8075000047683716
Cre12.g537641.t1.1,Endoplasmic reticulum,Transmembrane domain,Transmembrane,0.22220000624656677,0.08070000261068344,0.022600000724196434,0.17270000278949738,0.13670000433921814,0.04500000178813934,0.8474000096321106,0.08900000154972076,0.15719999372959137,0.007400000002235174,0.11659999936819077,0.9771999716758728,0.022199999541044235,0.12380000203847885
Cre12.g538450.t1.2,Endoplasmic reticulum,Transmembrane domain,Transmembrane,0.09570000320672989,0.16660000383853912,0.0364999994635582,0.2313999980688095,0.15039999783039093,0.023000000044703484,0.7820000052452087,0.18379999697208405,0.3675999939441681,0.0015999999595806003,0.09709999710321426,0.9514999985694885,0.027400000020861626,0.15780000388622284
Cre12.g538650.t1.1,Plastid,Chloroplast transit peptide,Soluble,0.27570000290870667,0.057999998331069946,0.051899999380111694,0.03449999913573265,0.2061000019311905,0.9570000171661377,0.015799999237060547,0.01979999989271164,0.06539999693632126,0.012500000186264515,0.5871000289916992,0.11400000005960464,0.08579999953508377,0.8123999834060669
Cre12.g539000.t1.2,Mitochondrion,Mitochondrial transit peptide,Transmembrane,0.2948000133037567,0.2345999926328659,0.09260000288486481,0.08739999681711197,0.7644000053405762,0.22020000219345093,0.35429999232292175,0.12389999628067017,0.1451999992132187,0.2273000031709671,0.5005000233650208,0.727400004863739,0.17339999973773956,0.27950000762939453
Cre12.g539900.t1.1,Plastid,,Soluble,0.17669999599456787,0.08569999784231186,0.05829999968409538,0.05689999833703041,0.5213000178337097,0.75,0.018200000748038292,0.02199999988079071,0.025200000032782555,0.032600000500679016,0.3686000108718872,0.13429999351501465,0.039400000125169754,0.7781999707221985
Cre12.g541250.t1.2,Plastid,Chloroplast transit peptide,Transmembrane,0.1518000066280365,0.03680000081658363,0.13570000231266022,0.08649999648332596,0.06620000302791595,0.9526000022888184,0.0203000009059906,0.06989999860525131,0.035999998450279236,0.022700000554323196,0.3084000051021576,0.9039999842643738,0.03929999843239784,0.15219999849796295
